emg_key,participant_id,source,corr,lag,n_mat,n_c3d
EMG_02_R_M_peroneus_long,RD0044,step4,0.9999999999999999,0,6,6
EMG_02_R_M_peroneus_long,RD0044,raw,1.0,0,6,6
EMG_02_R_M_peroneus_long,RD0045,step4,0.9999999999999998,0,4,4
EMG_02_R_M_peroneus_long,RD0045,raw,1.0,0,4,4
EMG_02_R_M_peroneus_long,RD0047,step4,1.0,0,6,6
EMG_02_R_M_peroneus_long,RD0047,raw,1.0,0,6,6
EMG_02_R_M_peroneus_long,RD0050,step4,1.0,0,12,12
EMG_02_R_M_peroneus_long,RD0050,raw,1.0000000000000002,0,12,12
EMG_02_R_M_peroneus_long,RD0051,step4,1.0,0,8,8
EMG_02_R_M_peroneus_long,RD0051,raw,1.0,0,8,8
EMG_02_R_M_peroneus_long,RD0052,step4,1.0,0,16,16
EMG_02_R_M_peroneus_long,RD0052,raw,1.0000000000000002,0,16,16
EMG_02_R_M_peroneus_long,RD0055,step4,1.0000000000000002,0,4,4
EMG_02_R_M_peroneus_long,RD0055,raw,1.0,0,4,4
EMG_02_R_M_peroneus_long,RD0057,step4,0.9999999999999999,0,17,17
EMG_02_R_M_peroneus_long,RD0057,raw,0.9999999999999998,0,17,17
EMG_02_R_M_peroneus_long,RD0059,step4,1.0,0,9,9
EMG_02_R_M_peroneus_long,RD0059,raw,1.0000000000000002,0,9,9
EMG_02_R_M_peroneus_long,RD0060,step4,1.0,0,6,6
EMG_02_R_M_peroneus_long,RD0060,raw,1.0,0,6,6
EMG_02_R_M_peroneus_long,RD0064,step4,0.9999999999999998,0,16,16
EMG_02_R_M_peroneus_long,RD0064,raw,0.9999999999999998,0,16,16
EMG_02_R_M_peroneus_long,RD0072,step4,0.9999999999999999,0,4,4
EMG_02_R_M_peroneus_long,RD0072,raw,1.0,0,4,4
EMG_02_R_M_peroneus_long,RD0075,step4,1.0,0,7,7
EMG_02_R_M_peroneus_long,RD0075,raw,1.0000000000000002,0,7,7
EMG_02_R_M_peroneus_long,RD0079,step4,1.0000000000000002,0,9,9
EMG_02_R_M_peroneus_long,RD0079,raw,1.0,0,9,9
EMG_02_R_M_peroneus_long,RD0080,step4,1.0,0,18,18
EMG_02_R_M_peroneus_long,RD0080,raw,1.0,0,18,18
EMG_02_R_M_peroneus_long,RD71,step4,1.0000000000000002,0,4,4
EMG_02_R_M_peroneus_long,RD71,raw,1.0000000000000002,0,4,4
